old_filename,new_filename,product_id,source_name_ua,product_link
1102.png,perolite-gel-clindamycin-benzoyl-peroxide-acne-30g.png,1102,Гель Perolite від акне кліндаміцин і бензоїл пероксид 30г Зеркалін,http://kirkland.in.ua/perolite-clindamycin-benzoylperoxide-ua
94.jpg,perolite-gel-soap-set-clindamycin-benzoyl-peroxide-acne.jpg,1109,Гель і мило Перолайт кліндаміцин і бензоїл пероксид Perolite,http://kirkland.in.ua/perolite-clindamycin-benzoyl-peroxide-ua
55.jpg,perolite-plus-soap-skin-cleansing-75g.jpg,1104,Мило Perolite Plus для очищення шкіри 75г,
95.jpg,perolite-soap-benzoyl-peroxide-2-5-acne-2.jpg,872,"Мило від акне Перолайт бензойл пероксид 2,5 Soap Perolite",http://kirkland.in.ua/soap-perolite-ua
mylo-vid-akne-perolait-benzoil-peroksyd-25-soap-perolite-.png,perolite-soap-benzoyl-peroxide-2-5-acne-3.png,872,"Мило від акне Перолайт бензойл пероксид 2,5 Soap Perolite",http://kirkland.in.ua/soap-perolite-ua
56.jpg,perolite-soap-benzoyl-peroxide-2-5-acne.jpg,872,"Мило від акне Перолайт бензойл пероксид 2,5 Soap Perolite",http://kirkland.in.ua/soap-perolite-ua
5.jpg,psorcutan-ointment-calcipotriol-0-005-psoriasis-30g-2.jpg,149,"Мазь від псоріазу Псоркутан Psorcutan 0,005 Calcipotriol 30 г",
149_0.jpg,psorcutan-ointment-calcipotriol-0-005-psoriasis-30g.jpg,149,"Мазь від псоріазу Псоркутан Psorcutan 0,005 Calcipotriol 30 г",
182.jpg,reluce-glow-bouquet-body-milk-lotion-moisturizing-glow.jpg,1365,Преміальний відновлювальний лосьйон-молочко для зволоження та сяйва RELUCE Skin Milk Lotio,http://kirkland.in.ua/reluce-glow-bouquet-skin-milk-lotion-ua
201.jpg,reluce-glow-bouquet-perfume-hand-cream-glow.jpg,1366,Преміальний парфумований крем для рук з ефектом сяйва RELUCE Perfume Hand Cream Glow Bouqu,http://kirkland.in.ua/reluce-glow-bouquet-krem-dlya-ruk-ua
183.jpg,reluce-prism-lily-body-milk-lotion-moisturizing-400ml.jpg,1412,"Молочко для тіла ReLUCE Prism Lily з парфумерним ароматом, 400 мл",http://kirkland.in.ua/reluce-prism-lily-skin-milk-lotion
194.jpg,reluce-prism-lily-glitter-serum-body-hair-80ml.jpg,1413,ReLUCE Glitter Serum Fragrance Prism Lily — парфумований серум з блиском для тіла та волос,http://kirkland.in.ua/reluce-glitter-serum-fragrance-prism-lily-80ml
135.jpg,reluce-prism-lily-perfume-hand-cream-50g.jpg,1414,"ReLUCE Prism Lily — парфумований крем для рук з ароматом фрезії, 50 г (Японія)",http://kirkland.in.ua/index.php?route=product/product&amp;product_id=1414
193.jpg,reluce-shiny-freesia-body-milk-lotion-moisturizing-2.jpg,1363,Молочко для тіла Reluce Shiny Freesia Skin Milk Lotion,http://kirkland.in.ua/reluce-shiny-freesia-skin-milk-lotion-ua
181.jpg,reluce-shiny-freesia-body-milk-lotion-moisturizing.jpg,1363,Молочко для тіла Reluce Shiny Freesia Skin Milk Lotion,http://kirkland.in.ua/reluce-shiny-freesia-skin-milk-lotion-ua
200.jpg,reluce-shiny-freesia-perfume-hand-cream-50g.jpg,1364,Парфумований крем для рук ReLUCE Shiny Freesia Hand Cream,http://kirkland.in.ua/reluce-perfume-hand-cream-shiny-freesia-50g-ua
190.jpg,s-free-silky-oil-hair-shine-smoothness.jpg,1432,S FREE Silky Oil — шовковиста олія для блиску та гладкості волосся,
199.jpg,s-free-silky-shampoo-moisturizing-480ml.jpg,1373,Зволожувальний шампунь S FREE Silky Shampoo 480 мл,http://kirkland.in.ua/s-free-silky-shampoo-480ml
186.jpg,s-free-silky-smooth-shampoo-refill-smoothing-2.jpg,1433,S FREE Silky Smooth Shampoo (Refill) — розгладжувальний шампунь для волосся,http://kirkland.in.ua/s-free-silky-smooth-shampoo-refill
127.jpg,s-free-silky-smooth-shampoo-refill-smoothing.jpg,1433,S FREE Silky Smooth Shampoo (Refill) — розгладжувальний шампунь для волосся,http://kirkland.in.ua/s-free-silky-smooth-shampoo-refill
197.jpg,s-free-silky-smooth-treatment-cashmere-keratin-smoothing-2.jpg,1434,S FREE Silky Smooth Treatment — розгладжувальний тритмент для волосся з кашеміровим керати,http://kirkland.in.ua/s-free-silky-smooth-treatment
